Geography,Geographic Area Name,Zipcode,Male,Female,Median age (years),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total housing units,Households Total,Households Mean income (dollars),Families - Median income (dollars),Families - Mean income (dollars),Married-couple families - Median income (dollars),Nonfamily households - Median income (dollars),Nonfamily households - Mean income (dollars),Total Workers 16 years and over,Workers Median age (years),Workers Native,Workers Foreign born,Workers Foreign born - Naturalized U.S. citizen,Workers Foreign born - Not a U.S. citizen,Speak language other than English,Workers Median earnings (dollars),Workers 16 years and over who did not work from home,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Less than high school graduate,Tota - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!High school graduate (includes equivalency),Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Some college or associate's degree,Total - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings Bachelor's degree,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Graduate or professional degree,Total Population,Total Disability ,Total Disability  Male,Total Disability Female,Total Disability  With a hearing difficulty,Total Disability  With a vision difficulty,Total Disability  With a cognitive difficulty,Total Disability  With an ambulatory difficulty,Total Disability  With a self-care difficulty,Total Disability With an independent living difficulty,Percent with a disability
860Z200US51640,ZCTA5 51640,51640,792,653,43.1,37,142,101,99,77,153,170,156,62,134,159,133,22,756,632,76285,86979,94401,93750,38162,46591,677,43.7,100,0,0,0,2.5,50000,661,55000,,37188,60461,66875,,1445,202,131,71,73,23,29,99,24,51,14
860Z200US52542,ZCTA5 52542,52542,310,219,44.2,52,41,27,37,10,87,27,58,46,41,44,17,42,258,221,86253,95625,108471,104625,25982,52527,240,49,98.8,1.3,1.3,0,21.7,53214,240,52206,73333,51083,24118,29091,56484,529,61,24,37,43,3,5,15,2,33,11.5
860Z200US52573,ZCTA5 52573,52573,31,124,28.7,26,0,0,0,32,31,0,0,55,0,0,11,0,114,63,41886,,41886,,,,56,58.2,87.5,12.5,0,12.5,7.1,,56,,,,,,,155,0,0,0,0,0,0,0,0,0,0
860Z200US52626,ZCTA5 52626,52626,536,615,50.1,14,116,124,37,17,52,163,133,114,103,166,83,29,558,485,65135,72727,79921,85833,37344,48194,443,51.3,100,0,0,0,0.9,42243,379,41581,47000,28269,48173,61250,,1151,198,56,142,40,27,52,91,35,82,17.2
860Z200US63005,ZCTA5 63005,63005,10170,9509,45.9,625,1040,1655,1926,856,1059,2316,3214,1990,1593,2240,1036,129,7322,7245,278007,229688,302220,246361,88250,135664,9810,49.4,79.4,20.6,15.1,5.5,20.6,111197,7352,117752,25294,55952,61862,116250,145279,19656,1221,637,584,359,194,333,582,111,238,6.2
860Z200US63010,ZCTA5 63010,63010,17121,17284,39.8,2025,1865,1865,2041,1560,5618,4221,3889,2802,2320,3676,1938,585,14854,13877,89035,91304,102034,104189,45288,56903,17504,41,94.1,5.9,4.1,1.8,7.3,46529,15904,48042,29815,40137,48442,60846,71475,34069,4506,2112,2394,1148,649,1672,2049,632,1458,13.2
860Z200US63011,ZCTA5 63011,63011,18004,18270,44,2493,2671,1910,2017,1634,3659,4334,4484,2327,2870,4375,2235,1265,14822,14376,147009,154618,176822,163819,48206,72151,17772,46.7,89.2,10.8,7.1,3.8,11.8,73644,13903,74664,46774,31969,54646,80153,96278,36274,3480,1564,1916,1288,617,1006,1541,559,1233,9.6
860Z200US63012,ZCTA5 63012,63012,5540,5437,37.1,795,580,643,776,835,1599,1689,1536,761,576,780,379,28,4146,3897,124233,101947,130886,113314,58958,62925,6164,40.1,98.7,1.3,1.3,0,2.6,53497,5401,53949,14444,45956,54959,76581,68092,10971,1269,603,666,452,197,442,621,236,246,11.6
860Z200US63013,ZCTA5 63013,63013,626,578,43.8,47,32,126,105,16,139,139,124,120,68,192,96,0,562,448,121207,104554,131291,99808,,72622,551,45.8,100,0,0,0,0,50818,487,51373,39732,47368,53438,,108028,1204,134,95,39,99,54,27,74,0,12,11.1
860Z200US63014,ZCTA5 63014,63014,182,222,56.1,12,21,21,4,17,13,43,62,33,12,143,23,0,243,219,69808,77708,76625,87813,38958,56541,220,54.3,100,0,0,0,0,44500,212,44500,,39375,44554,,,404,44,21,23,8,6,24,12,8,16,10.9
860Z200US63015,ZCTA5 63015,63015,918,1041,53.9,90,48,27,124,96,284,74,304,394,142,244,132,0,791,753,91068,95262,101461,95880,55425,61624,1089,53.9,100,0,0,0,2.2,35630,977,35524,39000,32169,40444,37917,,1959,161,57,104,15,49,25,129,0,62,8.2
860Z200US63016,ZCTA5 63016,63016,3298,2993,45.8,213,162,381,408,360,735,823,980,633,626,619,271,80,2985,2610,92653,99900,106434,112708,47045,52334,3255,46.1,99.7,0.3,0.2,0.1,2,48567,2941,51050,38125,48258,58438,65160,66360,6193,745,489,256,232,58,319,341,67,185,12
860Z200US63017,ZCTA5 63017,63017,20601,22473,47.6,2098,2542,2372,2474,1818,3615,5278,5167,3137,2632,6133,3853,1955,18726,17760,182585,172027,224399,185572,70295,84878,20306,46.7,79.1,20.9,12.7,8.2,19.5,83982,15550,90698,46285,33980,54852,88142,113445,41659,3653,1680,1973,1209,560,1500,1822,790,1432,8.8
860Z200US63019,ZCTA5 63019,63019,2040,2450,41.7,208,209,318,359,399,420,516,666,381,288,420,179,127,1927,1830,78226,82017,93843,99737,42272,49277,2325,42.7,98.2,1.8,1.4,0.4,1.5,41345,2208,45676,27750,44423,47381,64157,40192,4448,734,383,351,214,88,351,322,187,283,16.5
860Z200US63020,ZCTA5 63020,63020,10035,10322,44.4,999,1152,1621,984,1309,1717,2554,2343,1576,1836,2682,1110,474,8922,8163,76104,78936,86556,91619,38821,50540,9170,42.1,98.8,1.2,0.8,0.4,2.1,40103,8196,42486,29076,35918,43827,56491,62765,20089,3041,1610,1431,929,599,1195,1577,527,1147,15.1
860Z200US63021,ZCTA5 63021,63021,27713,28584,40.4,3257,3301,3660,3676,3015,6952,7537,7984,3112,4175,5940,2703,985,22982,22207,136526,134084,159589,145286,56380,74205,29212,43.7,86.1,13.9,8.3,5.5,15.2,63372,24168,66198,38529,35752,49705,78804,93644,55951,4906,2323,2583,1330,943,1810,2002,753,1842,8.8
860Z200US63023,ZCTA5 63023,63023,2896,2546,39.7,339,565,194,466,60,773,794,589,400,399,510,272,81,2108,1909,85974,80764,93664,83844,46146,50537,2187,43.1,100,0,0,0,0.5,46954,2085,47409,,45128,46870,80742,,5442,621,338,283,183,105,233,351,147,337,11.4
860Z200US63025,ZCTA5 63025,63025,9387,9096,39,1493,1505,1569,1046,511,1815,3097,2497,1395,1005,1642,613,295,6726,6522,148475,140781,165697,143666,51829,81799,8932,44.6,92.9,7.1,5.4,1.7,6.4,75352,7175,75813,33819,58026,70409,79180,100625,18207,1572,912,660,571,135,539,519,377,436,8.6
860Z200US63026,ZCTA5 63026,63026,22044,23223,41.2,2546,3045,3001,3035,2547,4648,5903,6319,2940,3383,5497,1656,747,18051,17216,118632,111623,132215,121947,49814,77375,23116,44.7,96.2,3.8,2.4,1.4,5.2,53807,19973,57900,36019,38260,50058,73384,82610,44817,5275,2464,2811,1328,585,1726,2679,800,1428,11.8
860Z200US63028,ZCTA5 63028,63028,13818,14095,39.4,1863,2261,1788,1444,1179,3353,4092,3115,1720,2405,2910,1230,553,11390,10740,92624,89651,107604,99710,39182,55810,12503,40.3,98.6,1.4,1.2,0.1,2.6,49327,11329,51462,34125,39175,53259,57703,86354,27516,4220,2361,1859,1352,934,1442,2356,636,1461,15.3
860Z200US63030,ZCTA5 63030,63030,178,186,29.1,33,54,54,0,23,56,64,43,13,6,18,0,0,139,109,92309,58917,84288,70893,,,145,35.9,100,0,0,0,0,43292,134,43708,,42772,37167,65469,,364,62,13,49,11,16,24,37,2,27,17
860Z200US63031,ZCTA5 63031,63031,23772,26486,38.1,2616,3675,3842,3171,2971,6736,6686,6021,3546,3707,4430,1978,879,21159,19431,87769,84708,97385,104188,49535,62832,24878,43.3,94.3,5.7,3.1,2.5,6.3,46394,21765,46999,41317,37583,45596,61031,65338,49630,5843,2484,3359,1269,1170,2461,3289,1500,2175,11.8
860Z200US63033,ZCTA5 63033,63033,18980,23278,37.1,2347,2782,3563,2272,3058,5773,5742,4192,2469,2712,4255,2168,925,18637,17200,75850,81280,87522,93966,44183,56707,21157,41,95,5,3.2,1.8,5.9,40997,18292,42658,32500,35708,44677,51563,59425,41796,6346,2883,3463,1268,1045,2974,3083,1525,2170,15.2
860Z200US63034,ZCTA5 63034,63034,9225,10332,40,1639,897,1972,1204,1253,1612,2477,2103,1433,1580,2205,896,286,6574,6453,122054,116235,132135,125217,72460,84810,9244,44.7,94.3,5.7,3.9,1.9,4.1,59861,7230,62072,,42237,55175,71567,83007,19399,2415,1135,1280,500,338,1011,1110,386,949,12.4
860Z200US63036,ZCTA5 63036,63036,545,576,62,53,0,31,6,0,160,53,151,70,202,252,126,17,1447,501,94500,82708,117417,83625,29750,44136,411,51.9,100,0,0,0,0,41620,351,41204,,25500,62898,91364,,1091,297,170,127,88,21,85,200,50,127,27.2
860Z200US63037,ZCTA5 63037,63037,1470,1356,48.3,87,137,125,158,155,257,318,493,176,339,327,178,76,1448,1252,73353,78667,87185,91985,21894,47042,1320,47.2,99.5,0.5,0.3,0.2,0.8,44298,1123,40901,15192,,46750,59583,48615,2803,378,174,204,104,39,163,189,53,145,13.5
860Z200US63038,ZCTA5 63038,63038,3476,3656,46,529,272,673,675,248,295,784,991,580,475,1279,248,83,2753,2504,221844,192362,246368,204776,,97604,3557,49.6,87.5,12.5,5.7,6.8,8.9,84132,2811,95441,,,82710,107654,133136,7132,339,161,178,143,48,133,84,69,114,4.8
860Z200US63039,ZCTA5 63039,63039,485,492,29.5,205,34,136,9,21,224,34,164,0,22,69,41,18,319,281,82044,52378,77609,66250,40662,40720,380,40.1,100,0,0,0,9.2,42500,307,41929,40036,50395,42163,,,977,45,35,10,26,0,23,14,4,9,4.6
860Z200US63040,ZCTA5 63040,63040,4392,4434,42.3,388,614,551,941,394,583,1261,1318,705,573,961,431,106,3324,3275,162716,166563,190519,177569,61111,81076,4520,47.8,90.7,9.3,6.6,2.7,10.5,73514,3659,77243,,50033,69861,77153,100500,8826,540,226,314,193,108,161,250,120,221,6.1
860Z200US63041,ZCTA5 63041,63041,163,143,62,0,0,10,2,3,15,17,52,28,108,52,19,0,251,168,83071,97841,97134,86731,60917,58527,230,61.5,100,0,0,0,0,54063,230,54063,,60583,25385,,55000,306,62,41,21,13,0,25,24,5,20,20.3
860Z200US63042,ZCTA5 63042,63042,8232,9721,35.9,1020,890,568,1209,2687,2385,1799,2216,907,1312,1850,806,304,9619,8668,58814,68437,72637,78750,38344,41168,9459,37.7,93.3,6.7,3.7,3,7.3,36785,8419,39453,35017,34850,37702,48625,69262,17936,2519,950,1569,436,396,1276,1105,426,1017,14
860Z200US63043,ZCTA5 63043,63043,10677,10974,36.6,1100,1350,1204,1099,1214,4015,3123,2658,1275,1312,2008,863,430,9616,9361,99937,109774,116573,119041,61042,73736,11960,37.8,78.4,21.6,11.9,9.7,23.7,59373,10008,62497,24949,46904,50187,74115,82288,21199,2121,1071,1050,683,325,822,1074,357,545,10
860Z200US63044,ZCTA5 63044,63044,4910,5600,44,522,580,795,437,377,1137,1688,1252,666,759,1302,671,324,4634,4241,102202,90871,113671,116098,40338,64262,4828,44.8,80.6,19.4,3.8,15.6,21,49750,4236,50126,31250,31493,43802,61732,79626,10232,1417,587,830,314,275,509,705,247,691,13.8
860Z200US63045,ZCTA5 63045,63045,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,
860Z200US63047,ZCTA5 63047,63047,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,
860Z200US63048,ZCTA5 63048,63048,1915,2228,40.8,97,421,423,144,207,391,718,446,269,311,408,176,132,1657,1530,91308,96401,102281,97766,44167,53021,2000,42.5,100,0,0,0,0,54798,1785,55809,,55758,52083,54167,105000,3983,341,156,185,151,56,80,172,44,181,8.6
860Z200US63049,ZCTA5 63049,63049,8718,8762,43,910,808,1045,1139,993,1997,2553,2824,1232,1244,1744,646,345,7006,6646,110543,112794,127809,122083,43300,68078,9917,44.2,93.9,6.1,4.1,2,9,46955,8815,51609,23326,47071,50860,64941,77393,17473,1978,934,1044,641,442,745,910,288,630,11.3
860Z200US63050,ZCTA5 63050,63050,8804,8877,40.7,850,1288,1311,1182,899,1898,2270,2110,1345,1353,2171,898,106,7089,6376,93227,91782,105050,96272,37154,44765,7663,42.1,99,1,0.5,0.4,1.6,46645,6966,50657,23163,46938,46334,64476,62719,17403,2737,1321,1416,809,214,959,1534,403,843,15.7
860Z200US63051,ZCTA5 63051,63051,6242,6347,40.7,848,666,936,586,830,1597,1407,1998,859,1072,1283,356,151,5415,4909,91195,89325,105658,97152,36551,51544,6274,44.5,98.4,1.6,0.5,1.1,3,46822,5475,46763,32525,37477,52306,61955,57961,12589,2154,1185,969,454,306,938,1287,457,870,17.1
860Z200US63052,ZCTA5 63052,63052,15176,13565,38.9,1348,1817,2192,2185,1848,3104,4540,4152,2186,1692,2228,1153,296,10823,10452,109249,112356,121828,123529,51965,72047,16399,42.3,98.2,1.8,0.7,1.1,3.9,51464,14605,56829,41549,48456,53003,63213,90728,28666,2979,1436,1543,679,440,1307,1300,290,1086,10.4
860Z200US63053,ZCTA5 63053,63053,17,43,58.6,0,0,0,3,0,14,6,0,10,13,11,3,0,38,38,59616,,50141,69375,69792,67286,34,41.5,100,0,0,0,0,,28,,,23854,62500,,,60,2,0,2,2,0,0,2,0,0,3.3
860Z200US63055,ZCTA5 63055,63055,911,717,46.8,119,36,85,89,48,181,193,136,164,130,316,126,5,775,705,93992,89728,110481,97500,,44406,625,45.8,99,1,1,0,1,52255,553,43750,,51346,55208,38438,165417,1608,209,151,58,35,10,66,115,26,55,13
860Z200US63056,ZCTA5 63056,63056,790,933,45,62,94,199,41,55,129,284,161,172,149,122,142,113,775,666,91424,82969,98716,74722,50000,73011,775,44.2,100,0,0,0,0,41375,655,41094,14375,39375,52900,,55625,1723,237,93,144,66,0,184,152,122,147,13.8
860Z200US63060,ZCTA5 63060,63060,1166,1017,47.7,88,138,121,145,112,138,277,186,127,214,540,74,23,957,871,72194,57234,80766,70625,42755,44802,846,45.3,99.6,0.4,0,0.4,0.4,33989,824,34867,33095,24219,36136,82596,83250,2183,411,170,241,160,64,161,175,32,96,18.8
860Z200US63061,ZCTA5 63061,63061,94,60,34.4,10,30,12,0,0,30,21,0,0,0,35,9,7,54,54,89033,94896,87494,91250,,,54,35.5,100,0,0,0,0,,43,,,25833,,,,154,28,21,7,12,0,7,7,0,16,18.2
860Z200US63068,ZCTA5 63068,63068,3286,3295,37,488,694,375,446,305,876,764,641,374,624,639,216,139,2442,2251,92992,86269,101645,98681,36667,48472,3143,39.3,96.5,3.5,0.1,3.5,3.3,46904,2961,50034,28145,47401,49280,60750,,6444,865,487,378,209,50,424,419,35,253,13.4
860Z200US63069,ZCTA5 63069,63069,7833,6927,44.7,802,857,517,680,787,1958,1883,2142,1130,1133,1713,959,199,6498,6173,102525,100518,128906,110000,38063,53903,7389,45.9,98.1,1.9,0.8,1.1,2.7,47838,6408,48739,30865,39704,47728,65988,90000,13842,1788,942,846,767,214,496,839,207,393,12.9
860Z200US63070,ZCTA5 63070,63070,4364,4001,34.7,513,749,630,594,570,1241,819,523,517,885,991,276,57,3234,3100,77049,80417,94041,103082,31287,41653,4151,37.4,97.8,2.2,2.2,0,1,36557,3921,40736,17630,37361,41798,46484,73750,8365,1012,477,535,245,236,506,453,158,299,12.1
860Z200US63071,ZCTA5 63071,63071,716,599,43.8,36,27,64,169,65,90,244,169,133,109,113,41,55,642,493,55297,54375,64615,57188,,32037,474,43,100,0,0,0,1.1,37847,460,33409,,29712,35313,,,1315,434,290,144,106,208,265,249,59,128,33
860Z200US63072,ZCTA5 63072,63072,1954,1738,44.8,80,397,251,222,173,245,491,752,324,151,439,117,50,1350,1268,106328,94205,118126,97589,52000,63746,1920,47.2,100,0,0,0,0,55952,1668,62261,61969,99167,61378,51875,,3691,426,214,212,53,95,138,146,23,103,11.5
860Z200US63073,ZCTA5 63073,63073,493,534,53,55,9,131,10,12,42,57,210,51,134,192,119,5,395,395,347637,"250,000+",371561,"250,000+",,,407,48.4,100,0,0,0,0,155179,363,144152,,,226435,71337,197866,1027,64,64,0,54,0,0,10,0,0,6.2
860Z200US63074,ZCTA5 63074,63074,7562,8675,34.8,961,1315,924,701,957,3348,2086,1877,853,888,1389,745,193,7523,7260,61712,71677,75216,88259,38782,44584,8537,36.2,87.8,12.2,5.9,6.2,17.5,36359,7876,38403,28125,36715,35794,59250,54746,16233,3423,1386,2037,860,1045,1551,1512,487,1261,21.1
860Z200US63077,ZCTA5 63077,63077,5598,5868,39.5,639,781,780,681,452,1612,1466,929,1021,1073,1294,584,154,5392,4749,70399,67847,80417,80893,31002,41679,4700,39,98.9,1.1,0.9,0.2,1,43949,4473,45165,23666,45523,44367,59459,53523,11365,2235,962,1273,907,374,1082,1288,557,805,19.7
860Z200US63079,ZCTA5 63079,63079,106,76,45.4,0,15,18,14,11,0,26,33,14,36,15,0,0,91,71,114263,131167,130379,131167,,,84,45.3,100,0,0,0,0,66288,58,66705,,,,,75962,182,14,0,14,0,0,14,0,0,0,7.7
860Z200US63080,ZCTA5 63080,63080,6706,6823,44.3,781,791,987,823,661,1349,1575,1807,1131,847,1392,878,507,6460,5753,86919,78676,103079,95175,38818,52233,5898,44.9,99.9,0.1,0,0.1,0.9,44946,5333,44674,20463,43300,42887,55774,85843,13376,2183,1047,1136,741,247,667,1164,398,704,16.3
860Z200US63084,ZCTA5 63084,63084,10642,9869,37.5,1331,1562,1047,1283,1373,3032,2367,2327,1661,1276,1871,1090,291,8511,7800,85359,84590,97944,92008,43061,48760,9624,38.9,97.9,2.1,0.9,1.2,2.9,44303,8826,48355,37183,41750,51184,58421,61500,20184,2530,1375,1155,683,607,956,1077,441,971,12.5
860Z200US63087,ZCTA5 63087,63087,693,480,46.1,40,60,64,84,63,70,179,198,151,41,123,48,52,449,437,83792,81458,86630,81319,,76630,562,46.2,100,0,0,0,0,43500,543,47212,,61298,36125,83707,,1173,294,214,80,119,21,150,155,70,124,25.1
860Z200US63088,ZCTA5 63088,63088,4256,4167,39,391,431,503,232,703,1687,868,874,700,528,745,416,345,4209,4193,83753,93347,108266,112180,47477,63314,4528,39.2,91.5,8.5,2.2,6.4,9.4,50649,3725,54033,,49461,48563,60013,88068,8264,1050,573,477,251,142,449,412,111,481,12.7
860Z200US63089,ZCTA5 63089,63089,3003,2927,36,433,580,289,311,268,786,857,667,467,470,515,135,152,2354,2256,87341,88756,97515,100893,48301,55290,2760,38.6,98.6,1.4,0.9,0.5,2.6,47825,2428,48750,,31753,64063,58177,83603,5930,791,306,485,251,56,278,349,90,255,13.3
860Z200US63090,ZCTA5 63090,63090,10674,11797,43.2,1122,1115,1403,1659,1435,2462,2550,3186,1615,1474,2756,1315,379,9745,9334,101762,108981,121621,119618,36000,56864,10960,43,99.3,0.7,0.1,0.6,1.3,50104,9615,52376,53053,46875,49646,57684,61080,22303,2804,1614,1190,1047,459,1144,1309,428,972,12.6
860Z200US63091,ZCTA5 63091,63091,655,779,46.3,71,79,89,117,43,91,218,220,149,98,201,43,15,601,571,89418,97386,106002,99632,32500,46817,695,47.1,100,0,0,0,2.2,46696,659,47143,,48750,42770,59625,147308,1434,174,58,116,58,18,90,71,18,51,12.1
860Z200US63101,ZCTA5 63101,63101,1595,1358,31.6,216,140,85,0,99,1101,480,338,111,234,149,0,0,2457,1941,102856,91360,117687,92596,93809,97529,2038,35.2,82.9,17.1,1.4,15.7,9.1,67304,1518,67279,80478,,40033,72842,152883,2953,410,150,260,28,106,47,273,105,41,13.9
860Z200US63102,ZCTA5 63102,63102,2140,864,37.1,34,0,0,55,433,946,498,381,227,164,233,33,0,1986,1830,79832,135560,125447,,52344,73013,1937,34,74.5,25.5,12.2,13.3,17.1,50785,1484,51750,,50222,46196,76028,63472,2382,449,339,110,53,204,170,193,20,136,18.8
860Z200US63103,ZCTA5 63103,63103,4181,4746,31.9,332,22,142,1058,1394,2060,866,554,488,627,777,445,162,5990,5182,61469,107946,117556,116819,33843,48830,4475,31.5,86.7,13.3,2.9,10.3,17.7,43566,3420,57577,,34901,35479,52471,62863,8666,1805,830,975,415,327,728,962,346,599,20.8
860Z200US63104,ZCTA5 63104,63104,9210,9491,37.6,951,741,499,458,1339,3973,3795,1727,1844,1144,1629,426,175,10958,9817,106960,110529,142410,139167,56157,83408,11464,38,92.2,7.8,1.8,6,8.4,56267,9409,55564,32686,31556,49487,63719,78527,18581,2494,1141,1353,424,340,1019,1417,463,740,13.4
860Z200US63105,ZCTA5 63105,63105,9119,9741,30.3,535,627,1303,3986,1954,1911,1959,1812,1037,904,1554,907,371,7231,6785,205330,179554,291342,206250,75333,108298,8113,42.7,86.8,13.2,6.2,7,15.3,71271,6516,88665,26458,42734,44167,70533,116688,17983,1122,441,681,353,154,480,274,145,421,6.2
860Z200US63106,ZCTA5 63106,63106,3280,4462,31.1,814,809,607,449,574,1055,692,659,336,556,759,360,72,4620,3597,40304,36982,50388,85650,15366,30769,2805,39.8,95.5,4.5,1.7,2.8,5.7,30262,2538,27389,18665,22051,26667,46944,,7680,1391,572,819,247,336,414,790,290,436,18.1
860Z200US63107,ZCTA5 63107,63107,4242,4840,43.5,545,464,673,414,313,1286,1024,967,711,789,1248,467,181,6651,4230,46493,51508,58841,56314,19727,33256,3226,43.5,99.4,0.6,0.6,0,1.6,38571,2851,40069,24735,24720,43339,42656,58977,9031,2225,1032,1193,521,627,982,1310,406,986,24.6
860Z200US63108,ZCTA5 63108,63108,10308,10384,33.2,480,638,416,1290,3314,4919,2224,1818,1186,1130,2042,1033,202,13208,11132,97893,107727,179373,140848,43704,64829,11316,33.7,85.4,14.6,5.5,9.1,15.3,54429,9705,58932,,45221,43142,58985,68449,20343,2902,1182,1720,547,432,1298,1588,599,1117,14.3
860Z200US63109,ZCTA5 63109,63109,12323,13420,41.2,1354,1065,1104,893,670,4943,4311,3303,1495,1713,3139,1222,531,14963,14035,91142,105288,128102,120974,49186,63042,15256,40.2,94.7,5.3,2.3,3,5.6,56986,12332,55167,32692,34644,42844,63601,72714,25662,2673,1301,1372,1005,730,1015,1266,545,832,10.4
860Z200US63110,ZCTA5 63110,63110,8475,9250,34.4,1063,964,698,469,1122,4932,2955,1945,888,1042,1001,419,227,10260,9151,103774,121922,138498,142009,57827,78575,10747,36.5,92.2,7.8,3.9,3.8,10.4,58438,8545,59069,39000,35119,42466,60641,78125,17502,2081,796,1285,325,297,874,1072,331,743,11.9
860Z200US63111,ZCTA5 63111,63111,9904,9189,35.6,1475,862,1585,1401,1210,2715,3118,1735,1199,1472,1614,559,148,10541,8721,55054,53777,68642,73547,32125,45001,8270,39.4,91.4,8.6,3.3,5.3,11.1,35456,7415,37389,29313,32746,39241,40867,51534,18861,3695,1789,1906,890,640,1823,2006,671,1388,19.6
860Z200US63112,ZCTA5 63112,63112,7977,10376,33.5,1329,516,874,924,1723,4224,1904,1868,1007,1043,1652,839,450,11521,9180,69120,74206,101397,120847,29667,46629,9110,34.8,89.8,10.2,4.7,5.6,14.2,40127,7897,41823,35238,28705,36935,49091,67500,18155,2971,1132,1839,626,703,1116,1508,487,841,16.4
860Z200US63113,ZCTA5 63113,63113,5439,6171,47.1,575,454,623,1094,494,1353,979,1505,848,1031,1372,478,804,7400,5184,52225,52986,65838,73195,20550,30035,4395,43.3,98.6,1.4,1,0.4,1.5,31108,3917,31317,24831,29623,31040,53661,60438,11220,2782,1258,1524,633,615,1129,1599,647,1060,24.8
860Z200US63114,ZCTA5 63114,63114,17260,16443,37,2522,1574,2415,1647,1794,6166,4272,3703,2361,2443,3368,1179,259,15747,14958,67290,60570,78262,79725,41385,49860,16732,39.6,89.8,10.2,5.6,4.6,15.5,39700,14864,39463,26891,36518,38244,52616,55759,33423,5298,2310,2988,1037,800,2093,2740,873,1750,15.9
860Z200US63115,ZCTA5 63115,63115,6589,7663,43.5,497,1044,921,773,620,1961,1507,1625,1020,1225,1920,716,423,10208,6763,49108,49365,66155,78857,21040,31179,5404,42.2,100,0,0,0,1.5,33917,4721,34253,31157,27813,32836,48812,55109,14247,3159,1481,1678,359,456,840,2391,840,1385,22.2
860Z200US63116,ZCTA5 63116,63116,20695,21775,36.2,2461,2690,2499,2194,2165,8165,6826,5291,2705,2634,3154,1232,454,22394,19741,78805,77925,97847,99914,46133,58606,23347,37.9,88,12,6.3,5.7,14.6,45388,20362,46398,28115,36627,41994,54313,72488,42091,6837,3299,3538,1571,1669,3092,3200,1092,2302,16.2
860Z200US63117,ZCTA5 63117,63117,4509,4679,36.8,564,594,490,376,524,1820,1767,896,555,466,679,357,100,4917,4610,129861,145500,204781,178625,61182,75842,5530,38.9,89,11,6.2,4.8,9.5,61212,4440,62875,,72782,45915,67358,73702,9180,582,345,237,156,47,193,249,96,174,6.3
860Z200US63118,ZCTA5 63118,63118,13031,12614,35.2,1594,1681,1524,1233,1201,5447,4166,3012,1129,1558,2371,627,102,14770,11977,76071,71017,92294,106328,44650,61370,13149,38,92.8,7.2,2.3,4.9,8.7,46371,11110,46294,36625,32242,43049,55851,71155,25445,4331,2194,2137,796,750,1978,2468,792,1256,17
860Z200US63119,ZCTA5 63119,63119,16150,18424,40.9,1988,2196,1711,2245,2057,4167,4834,3705,2081,2277,3757,1869,1687,15627,14904,142565,139961,180286,162148,69092,84815,17733,42.1,93.1,6.9,4.3,2.6,7.4,71265,14216,73578,39031,30976,59251,76906,95409,34128,3191,1425,1766,866,534,1482,1418,575,1539,9.4
860Z200US63120,ZCTA5 63120,63120,3278,3949,33.8,764,541,763,359,511,723,746,937,238,411,714,363,157,4082,2765,43831,39015,48617,60298,25031,27184,2110,45.1,97.5,2.5,0.7,1.8,3.5,30650,1901,33301,30800,29594,35696,38849,58571,7212,1411,540,871,491,565,556,795,347,509,19.6
860Z200US63121,ZCTA5 63121,63121,11319,13252,35.2,1446,1682,1595,1614,2265,3607,2695,2206,1158,2070,2658,1087,488,12745,10916,55872,53856,70234,80893,35328,41333,10344,38.6,97,3,1,2.1,4.9,33476,9387,34405,20525,33114,32549,43797,67904,24255,3800,1615,2185,428,1036,1543,2101,1084,1554,15.7
860Z200US63122,ZCTA5 63122,63122,19672,22052,42.9,2381,2912,3287,3153,1542,3235,5631,5465,2740,2540,5239,2352,1247,17763,16806,168887,167708,209429,189493,65446,86164,19819,45.9,95.3,4.7,3.5,1.2,4.8,81619,15322,85261,,36048,53918,92874,108147,41332,3325,1533,1792,1018,591,1128,1480,585,1480,8
