Geography,Geographic Area Name,Zipcode,Male,Female,Median age (years),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total housing units,Households Total,Households Mean income (dollars),Families - Median income (dollars),Families - Mean income (dollars),Married-couple families - Median income (dollars),Nonfamily households - Median income (dollars),Nonfamily households - Mean income (dollars),Total Workers 16 years and over,Workers Median age (years),Workers Native,Workers Foreign born,Workers Foreign born - Naturalized U.S. citizen,Workers Foreign born - Not a U.S. citizen,Speak language other than English,Workers Median earnings (dollars),Workers 16 years and over who did not work from home,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Less than high school graduate,Tota - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!High school graduate (includes equivalency),Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Some college or associate's degree,Total - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings Bachelor's degree,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Graduate or professional degree,Total Population,Total Disability ,Total Disability  Male,Total Disability Female,Total Disability  With a hearing difficulty,Total Disability  With a vision difficulty,Total Disability  With a cognitive difficulty,Total Disability  With an ambulatory difficulty,Total Disability  With a self-care difficulty,Total Disability With an independent living difficulty,Percent with a disability
860Z200US63766,ZCTA5 63766,63766,925,905,55.6,45,14,94,53,70,116,272,230,303,174,362,88,9,705,693,85619,76786,99573,80038,,30007,845,46.1,100,0,0,0,3,40327,812,37417,,41714,29125,27165,59375,1830,417,259,158,174,141,123,152,19,123,22.8
860Z200US63767,ZCTA5 63767,63767,258,293,46.8,29,25,13,16,34,56,84,115,34,39,61,34,11,277,252,57904,63500,75477,87125,16974,34182,256,47.2,98,2,0,2,2,37250,252,34265,,32125,40750,76154,,551,125,82,43,47,28,50,82,27,53,22.7
860Z200US63769,ZCTA5 63769,63769,662,726,45.9,40,103,55,138,40,135,162,149,96,113,271,76,10,572,512,89277,86987,92317,87097,52000,61538,693,45.2,100,0,0,0,0.9,40393,641,42393,40313,41250,56346,,,1388,190,107,83,69,32,35,84,38,46,13.7
860Z200US63770,ZCTA5 63770,63770,121,46,49.5,11,6,6,2,2,11,26,25,16,0,35,27,0,74,74,97355,,100016,58618,77813,88435,44,37.1,100,0,0,0,0,41250,42,48750,,53125,34583,,,167,64,58,6,47,0,17,25,0,0,38.3
860Z200US63771,ZCTA5 63771,63771,1229,1232,39.8,191,122,116,169,202,326,286,326,182,162,265,88,26,1083,922,76276,72228,84309,83088,32063,44877,1243,42.8,99.9,0.1,0.1,0,2.3,36712,1171,41034,31597,41076,33125,53409,50250,2455,408,179,229,152,76,131,187,62,122,16.6
860Z200US63774,ZCTA5 63774,63774,63,86,39,0,6,20,17,0,13,41,15,0,0,26,6,5,56,43,61147,46250,53200,46250,,56300,45,43.3,100,0,0,0,0,29886,39,29773,,32778,,,,149,38,0,38,16,17,32,21,21,21,25.5
860Z200US63775,ZCTA5 63775,63775,7827,8166,41.8,805,1080,978,1123,969,1687,1973,2114,1240,1054,1704,999,267,7148,6116,81452,81367,97812,91083,36387,46623,7529,43,98.4,1.6,0.5,1.2,3.7,38906,7144,40355,33302,35266,39659,49904,59306,15696,2395,1172,1223,842,383,892,1121,407,881,15.3
860Z200US63780,ZCTA5 63780,63780,3093,3062,39.1,339,420,327,477,533,646,771,948,493,379,563,242,17,2600,2350,82020,79985,93607,89009,27292,31287,3155,40.5,99.9,0.1,0.1,0,1,41066,2997,44665,38665,46413,41223,45100,51358,6151,794,430,364,155,124,265,423,236,343,12.9
860Z200US63781,ZCTA5 63781,63781,785,728,49.1,167,64,84,15,30,215,171,190,191,85,153,48,100,657,655,74173,71520,87541,74267,,35654,807,50.4,100,0,0,0,0,42351,769,43404,32130,47781,53250,,,1513,191,83,108,107,17,26,67,0,40,12.6
860Z200US63782,ZCTA5 63782,63782,100,67,37.4,5,14,7,14,12,23,18,40,9,5,13,7,0,96,63,65038,64063,71408,63438,75227,55973,89,46.4,100,0,0,0,0,38750,68,44375,46250,55625,34500,,,167,18,15,3,8,0,7,12,9,9,10.8
