,Zipcode,Male,Female,Median age (years),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total housing units,Households Total,Households Mean income (dollars),Families - Median income (dollars),Families - Mean income (dollars),Married-couple families - Median income (dollars),Nonfamily households - Median income (dollars),Nonfamily households - Mean income (dollars),Total Workers 16 years and over,Workers Median age (years),Workers Native,Workers Foreign born,Workers Foreign born - Naturalized U.S. citizen,Workers Foreign born - Not a U.S. citizen,Speak language other than English,Workers Median earnings (dollars),Workers 16 years and over who did not work from home,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Less than high school graduate,Tota - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!High school graduate (includes equivalency),Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Some college or associate's degree,Total - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings Bachelor's degree,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Graduate or professional degree,Total Population,Total Disability ,Total Disability  Male,Total Disability Female,Total Disability  With a hearing difficulty,Total Disability  With a vision difficulty,Total Disability  With a cognitive difficulty,Total Disability  With an ambulatory difficulty,Total Disability  With a self-care difficulty,Total Disability With an independent living difficulty,Percent with a disability
Families - Median income (dollars),-0.17796347694992956,0.267540563795721,0.2638499455360817,-0.004304027812593521,0.2262500053110998,0.24890062197686047,0.2624543020475247,0.2596405500012427,0.1573045945065632,0.21554065796653665,0.2909919963432812,0.30067294124729554,0.2771106685891338,0.25157909783700344,0.27533621663658364,0.2725396210753281,0.23919266574787,0.23566473690709028,0.25844436207835636,0.8415059386670308,1.0,0.8753386396980294,0.9252554999683363,0.5587817267787262,0.5639665018640138,0.29785310232587014,0.0390924474717819,-0.1402077497634259,0.14020461842366408,0.278843798136943,-0.0059787099826247555,0.04208340590471805,0.7754442220554052,0.27368760513268103,0.8087613557681208,0.21015531293206705,0.3943695939243939,0.39589226399773425,0.4760190844964499,0.5502949403099656,0.26766672927586355,0.11489310191923212,0.12182654967654974,0.10711897747482053,0.15948969938922536,0.0546827418193301,0.09248844537864247,0.06763683449849515,0.0554394459698077,0.08427729194994302,-0.41242716647775085
Families - Mean income (dollars),-0.1277324332545193,0.260931864999783,0.25991393110223177,-0.02110474781489627,0.22121269837539367,0.23824390762551315,0.25593220970757463,0.26033497826515495,0.16560368525481572,0.21012172345285848,0.2713634963677391,0.288222321616221,0.27139313665550263,0.24701246911470306,0.2752831785191413,0.2840102503667403,0.25981618937015577,0.24209231481164262,0.25626648699470544,0.9483312062640745,0.8753386396980294,1.0,0.8631068819549241,0.4914395253802225,0.5402552578517917,0.28094541047821675,0.036518427562334324,-0.165144801978543,0.1651343874781169,0.2710241988712166,0.038597401747298525,0.08476997674289935,0.7402141754638552,0.2604357948677984,0.7639183101049934,0.12022683735416186,0.34122387204682386,0.3998367144890647,0.4001203070416489,0.5929771169305019,0.2619894160892404,0.13060080581021222,0.13661672305225428,0.12347176663736242,0.16695098810931083,0.08001544731728019,0.10777162424527946,0.09275791559494602,0.08366054456937665,0.10534391767175849,-0.35112070458543626
Married-couple families - Median income (dollars),-0.2134651238914826,0.35970126344484593,0.36015861565880103,-0.10476451283709617,0.3257525155627985,0.3376846220544009,0.3474347619328952,0.3470137565825051,0.2433082031900853,0.3262880677030439,0.3824161652107907,0.3852513941882551,0.3660375072825822,0.3371485731993592,0.3578762330754043,0.3465833170617022,0.3217106067678429,0.34080496782274794,0.35925107869873246,0.8120429235303159,0.9252554999683363,0.8631068819549241,1.0,0.49171967043461745,0.5182704492224846,0.3890628087735324,-0.024122955388568193,-0.20532593327228918,0.20532064159143165,0.31632018345945706,0.06290210453664521,0.0798047628985033,0.7269682445053124,0.36566777532507067,0.7684384686469399,0.16547770801769154,0.31141217968685897,0.39841346281152,0.43411516062476385,0.5311344503101028,0.3621449186622515,0.2232977648853105,0.2245006649362871,0.21928843177760873,0.24979326013977743,0.16668214540321674,0.20179220317168073,0.17925768232135825,0.16704330927951513,0.19519869026059392,-0.4093578013728606
Nonfamily households - Median income (dollars),-0.14929125809592517,0.21126143571427183,0.20874572183743212,-0.10467257297991897,0.19635691885318193,0.20448300684364978,0.2103219752465018,0.18206481261808655,0.10764543199032496,0.20418143901176944,0.24041135944609618,0.23071002034846683,0.22072989046335745,0.1913242262372693,0.20166203858315868,0.18705092653139968,0.15246515330834348,0.19160135956982952,0.20966974652339865,0.5791689522347042,0.5587817267787262,0.4914395253802225,0.49171967043461745,1.0,0.7695560786678065,0.24158774887742043,-0.02565887577367016,-0.1485619975892673,0.14853544606053393,0.21758845445157912,0.06187785662741026,0.06923154968861012,0.582631634246515,0.22260597300565868,0.6080164919409738,0.18161742986320029,0.3192799487804692,0.39907316016455535,0.3947113212738049,0.4863955202743315,0.21127477172037032,0.09301332822438152,0.09799177270364945,0.08726104542298382,0.10399142969584295,0.05914556802368065,0.07838353475904478,0.05669896053382805,0.04906969229487265,0.06853219764749956,-0.3762177897332528
Nonfamily households - Mean income (dollars),-0.14956455914762806,0.25965411599964433,0.2565142149909769,-0.07876603397169321,0.23801785858511074,0.245382061749361,0.25372031845649107,0.23401767432935605,0.1545551621606291,0.2385133508925379,0.28059782611996215,0.2776128248538952,0.26922756036630635,0.24463403885497306,0.2576705623230539,0.2466120148366464,0.2132753693570876,0.24293380474909754,0.2576159073815883,0.6692549909837927,0.5639665018640138,0.5402552578517917,0.5182704492224846,0.7695560786678065,1.0,0.2831291115707711,-0.028234992044579823,-0.20073186291148665,0.2007221965099184,0.2807069840608607,0.08528480739433286,0.065166091205778,0.5699466659321643,0.26627736241495764,0.5928265061688955,0.09314206678244079,0.21081524331628326,0.33093456939144344,0.4043577790922894,0.4885793600568854,0.25946186605494936,0.15241600284011225,0.15779000359889858,0.14555625468025102,0.16889222304408663,0.11535236301431333,0.1363093789792255,0.12214037345772695,0.11076589488433451,0.12754895490939575,-0.3528052059845451
Total Workers 16 years and over,-0.1442143412490819,0.9925297011252567,0.9926720572064837,-0.22556559027256878,0.9667175053914928,0.9577083734411395,0.9431533617536945,0.9139205420900436,0.8160105464566917,0.9652986160784451,0.9851098512720233,0.9791389341973344,0.9706008893109087,0.965446156500637,0.9616398405614964,0.934867430039789,0.872043548984664,0.9804496057177632,0.9911656287714498,0.2501346021437094,0.29785310232587014,0.28094541047821675,0.3890628087735324,0.24158774887742043,0.2831291115707711,1.0,-0.2053149628500686,-0.3365383471704512,0.33652021526817844,0.3497353762171231,0.22673203857999513,0.21669762650195012,0.19779453903783706,0.9980739672716079,0.25698061366206426,-0.09508806322511977,-0.0366626757940161,0.054357324071361436,0.14182989944190452,0.19693580443222658,0.9935401442706794,0.9306159896203623,0.9249231486717862,0.9239623491553715,0.9160926564614778,0.869097763031105,0.905397352940543,0.8899435189253521,0.851276027279689,0.8963331750710485,-0.1804049353361185
Workers Median age (years),0.0039167754768434085,-0.2068009413538259,-0.2012735542535248,0.7386929255490693,-0.21126732772475126,-0.18961955717318932,-0.17359727502501607,-0.2320385824177237,-0.26406511990000336,-0.25859227654049066,-0.19766357114220331,-0.16299809727169168,-0.15565782532672381,-0.15540125276928574,-0.14752828390269782,-0.1413364649421009,-0.14315917639604442,-0.20540193698843184,-0.20676888616172098,0.05156531609754474,0.0390924474717819,0.036518427562334324,-0.024122955388568193,-0.02565887577367016,-0.028234992044579823,-0.2053149628500686,1.0,0.17798609310739427,-0.17798330926578376,-0.11130126681454755,-0.17923988383190328,-0.18105598084187133,0.14105195320209138,-0.21076904480888328,-0.024298857661477997,0.03268848985150087,0.020980883629157256,0.049176384522396366,0.1290979580292939,0.07406549353505551,-0.19932733422483823,-0.20858954925368917,-0.20375008365099728,-0.21028876870192115,-0.18394597380979433,-0.21382105140858507,-0.22298408179373516,-0.2023921128638942,-0.19608193972821814,-0.20194391560041788,0.21829666133297315
Workers Native,0.11477704040422734,-0.3332339320738404,-0.32996899114470185,0.21886516304341258,-0.32295032332364265,-0.30758638318494247,-0.3066493170059482,-0.3163359828665792,-0.2901513044097411,-0.3552199580106408,-0.33106233926720974,-0.3186523573416596,-0.31704891456174983,-0.30074824033074626,-0.3014531855424567,-0.2917880015000523,-0.2880618050185269,-0.33904886406933643,-0.34086854739346073,-0.13402074274331904,-0.1402077497634259,-0.165144801978543,-0.20532593327228918,-0.1485619975892673,-0.20073186291148665,-0.3365383471704512,0.17798609310739427,1.0,-0.9999995913134223,-0.7960427070571574,-0.8701546604395681,-0.6392816136843306,-0.10279267957417222,-0.3294440058508123,-0.1479696830397427,0.06861182581321679,0.07319028645922669,0.008856247168343455,-0.0939077857109155,-0.18877197568646334,-0.3313579117284646,-0.28717542537210305,-0.2774811979801709,-0.2922862246868255,-0.26154497192263837,-0.2960841561688663,-0.2788189247754379,-0.27957148707213547,-0.28082485287033254,-0.2826172461660036,0.1344420894943139
Workers Foreign born,-0.11497170909619771,0.333216647684946,0.3299497670611262,-0.21888147852687737,0.322934140339185,0.3075711768328632,0.3066313290982829,0.3163210752309633,0.2901357462102699,0.3552034092625049,0.33104431947888474,0.3186336879867299,0.3170322799691449,0.30072853468208577,0.3014334011213479,0.29176717582821227,0.2880474022545314,0.3390296510447933,0.34085017350631847,0.1340083664058715,0.14020461842366408,0.1651343874781169,0.20532064159143165,0.14853544606053393,0.2007221965099184,0.33652021526817844,-0.17798330926578376,-0.9999995913134223,1.0,0.7960422469995837,0.870155026785928,0.6393296710425991,0.10279783627220763,0.32942595930468443,0.14796882889529803,-0.06852482574651715,-0.07318564946337484,-0.008902443972409024,0.09383889787397715,0.18876571706111572,0.3313397912528069,0.2871569088611619,0.2774638090144562,0.2922669234883041,0.26152889726941214,0.2960635081873429,0.2788000095817306,0.27955449298200163,0.2808055730646981,0.28259901021324774,-0.13445305501330035
Workers Foreign born - Naturalized U.S. citizen,-0.08605759522527424,0.34300485939835657,0.33906502750629364,-0.14503015345080703,0.330032554736675,0.321878930480803,0.32029997925261877,0.3062152158612079,0.25495892283344124,0.3468681344448958,0.3473980719402923,0.3390192379124498,0.33635981266436005,0.3256642657856645,0.32793887390664567,0.3217523875777652,0.31075391562515425,0.34026413364300234,0.3473043345606036,0.23145433145956784,0.278843798136943,0.2710241988712166,0.31632018345945706,0.21758845445157912,0.2807069840608607,0.3497353762171231,-0.11130126681454755,-0.7960427070571574,0.7960422469995837,1.0,0.39447811511795783,0.4681629111130153,0.20370398994084105,0.3400112841434505,0.23312318435353543,-0.0905023308675861,-0.013908234750613573,0.031431976954263724,0.16661508493829244,0.2752555841206958,0.3410570173337262,0.28186011008455625,0.27558428329769225,0.28394241235343476,0.2704084192852647,0.2731556312961162,0.2692338040609614,0.26757438074974244,0.26715981263674554,0.2732830112385114,-0.1619595149458232
Workers Foreign born - Not a U.S. citizen,-0.10468120774170245,0.22724649611734185,0.22548461289145208,-0.21394998508517848,0.22223371832081049,0.20545736438270848,0.20525804078588386,0.23144229249315915,0.2334205196526987,0.257323873970598,0.22021299407614348,0.20826136214507474,0.2081729952465971,0.19203553563275144,0.19141019031475448,0.18192053550992113,0.1853619930467504,0.2383085517240133,0.23535219475343847,0.013038028849762719,-0.0059787099826247555,0.038597401747298525,0.06290210453664521,0.06187785662741026,0.08528480739433286,0.22673203857999513,-0.17923988383190328,-0.8701546604395681,0.870155026785928,0.39447811511795783,1.0,0.5896443501354787,-0.0005179592617401925,0.22388409979530738,0.04314793840124059,-0.0381922812400799,-0.10153567110969376,-0.03935519964800818,0.014340762297378526,0.06704119837257644,0.22598695438602617,0.20713705159341625,0.19754040085614327,0.21318242630047457,0.1776543563832795,0.22775986491585645,0.20475635919111612,0.20716004373519253,0.20953450249721375,0.20721519824867818,-0.07227862939867725
Speak language other than English,-0.08956080784632364,0.21564438251329474,0.21261973463902342,-0.24276020943086998,0.21939096133364985,0.20504772491819187,0.20117131360383964,0.21175592585072014,0.1977340355141557,0.2385234385297727,0.21081500361663338,0.20087428096479704,0.19705332919885424,0.18483290399369393,0.18308136730453306,0.17692795269164288,0.17898096176167508,0.21926979978256111,0.21891739725796852,0.06189961237705468,0.04208340590471805,0.08476997674289935,0.0798047628985033,0.06923154968861012,0.065166091205778,0.21669762650195012,-0.18105598084187133,-0.6392816136843306,0.6393296710425991,0.4681629111130153,0.5896443501354787,1.0,0.04350477253119128,0.21263014109779713,0.07909286069374064,0.05618390304992346,-0.07358661115767885,-0.045031459224940354,0.02651518829584063,0.10301103142312855,0.2127255254204343,0.18499892992598216,0.17650589313364487,0.19032758172171016,0.16269789924936434,0.20066067679153626,0.18144583969321024,0.18066878534968675,0.18387631186789252,0.1835354786552048,-0.16285292910984286
Workers Median earnings (dollars),-0.20256189031703645,0.17528570658113726,0.17551045073232407,0.09982069436904344,0.16126578300073885,0.1773497301591196,0.18753689306848453,0.13030880564388453,0.04707897696644759,0.14205902809373752,0.20182097548395586,0.21047360119021843,0.19873908904388776,0.17215788544753904,0.18795957835339944,0.18899138284388692,0.16961390122279715,0.1557211141616714,0.17620849422081653,0.7666161203692975,0.7754442220554052,0.7402141754638552,0.7269682445053124,0.582631634246515,0.5699466659321643,0.19779453903783706,0.14105195320209138,-0.10279267957417222,0.10279783627220763,0.20370398994084105,-0.0005179592617401925,0.04350477253119128,1.0,0.17688410679676794,0.9498361961086712,0.2089898623270055,0.5330654773872135,0.5013695727776367,0.45251728101345523,0.6159486246775905,0.1783622741466745,0.06345014522441034,0.06563128956295958,0.06065006635054303,0.08736078744450212,0.02826306354460404,0.04468407562553602,0.03477870124894268,0.02767770981165501,0.04853101835670423,-0.299636079072959
Workers 16 years and over who did not work from home,-0.1351069929626865,0.9940899684594701,0.9934289392127403,-0.23032695626829905,0.9689071449813166,0.9596456392896928,0.9444070386118261,0.9177104116378331,0.8269205267874421,0.9683647273835663,0.98310843861865,0.9771404994939651,0.9697810189584157,0.965855567336246,0.9598651960659013,0.9335410052113532,0.8686319847075323,0.9820713050785232,0.9914831056039869,0.23073046741034606,0.27368760513268103,0.2604357948677984,0.36566777532507067,0.22260597300565868,0.26627736241495764,0.9980739672716079,-0.21076904480888328,-0.3294440058508123,0.32942595930468443,0.3400112841434505,0.22388409979530738,0.21263014109779713,0.17688410679676794,1.0,0.23560300375339718,-0.10232512982385113,-0.04265175354158818,0.04421665348257779,0.12492528695672946,0.17586741956617852,0.9944240329954169,0.9430005734708672,0.9374618646826369,0.9360500665417495,0.9272265394427052,0.882985256535226,0.9198271758601531,0.9038507997697758,0.863337053747872,0.9088740318658682,-0.1744981988744957
Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,-0.19408797336418385,0.2327440305707618,0.23258314209857306,-0.04915885532366085,0.2093795451305439,0.22457217486073852,0.23831440494082423,0.22401072475080697,0.12987836238718323,0.1907601902793277,0.25472393175187363,0.26202834470355785,0.24429882296332317,0.21626657401080515,0.2340171039441717,0.2369115522967558,0.21775973717253772,0.20583503218716884,0.22877450321957285,0.7688982564852344,0.8087613557681208,0.7639183101049934,0.7684384686469399,0.6080164919409738,0.5928265061688955,0.25698061366206426,-0.024298857661477997,-0.1479696830397427,0.14796882889529803,0.23312318435353543,0.04314793840124059,0.07909286069374064,0.9498361961086712,0.23560300375339718,1.0,0.2647264678837894,0.54326791681077,0.5641869378816987,0.4681298105661393,0.6173043476554082,0.2345196028405776,0.10421523418830567,0.10667627974946288,0.10062942832450048,0.13128854476120505,0.06215442080326267,0.08660329848533746,0.06810080783789546,0.061157330184099655,0.08405882804183336,-0.3812891319625825
Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Less than high school graduate,-0.042100783963158916,-0.1131114943246955,-0.1139185332441848,-0.04929450034093407,-0.11917211129680819,-0.111431034899082,-0.10346039834868147,-0.10602023153477584,-0.09310761641025234,-0.11746982087414176,-0.09929643899368253,-0.10057280798769574,-0.10930419324236947,-0.11526841157448035,-0.11568201273522057,-0.11798537486872027,-0.09980181698730113,-0.13028632493174158,-0.1158052818942638,0.15057348816047222,0.21015531293206705,0.12022683735416186,0.16547770801769154,0.18161742986320029,0.09314206678244079,-0.09508806322511977,0.03268848985150087,0.06861182581321679,-0.06852482574651715,-0.0905023308675861,-0.0381922812400799,0.05618390304992346,0.2089898623270055,-0.10232512982385113,0.2647264678837894,1.0,0.163010518194741,0.12500285319397536,0.05970324121344456,0.12342238376943823,-0.11243533284424555,-0.160963472133518,-0.1682333064745311,-0.15207588102520392,-0.14303827100351837,-0.16898864431199082,-0.16514817811777377,-0.16766835922054105,-0.17082693668780397,-0.1631546031680797,-0.2034061609406607
Tota - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!High school graduate (includes equivalency),-0.05513413495737358,-0.052930146958202945,-0.05528445643525099,0.022555768004413522,-0.06261687738605982,-0.04166562329893325,-0.03681666159613597,-0.04613918632326012,-0.07048337640452382,-0.06766704617383189,-0.0334556800559237,-0.037140631750008174,-0.0420663049455198,-0.06053432261800586,-0.061455134993520746,-0.05644348804089265,-0.06470778214029275,-0.07882971668865825,-0.06020576586812922,0.3528940442737445,0.3943695939243939,0.34122387204682386,0.31141217968685897,0.3192799487804692,0.21081524331628326,-0.0366626757940161,0.020980883629157256,0.07319028645922669,-0.07318564946337484,-0.013908234750613573,-0.10153567110969376,-0.07358661115767885,0.5330654773872135,-0.04265175354158818,0.54326791681077,0.163010518194741,1.0,0.15189403840161111,0.14681473026013586,0.22921058466730676,-0.05313120727836924,-0.11132789821783586,-0.10954533879193606,-0.1114591677700722,-0.09669575433777551,-0.1290791926309463,-0.11547146121353039,-0.124345147649656,-0.12811660704004513,-0.12060288342852403,-0.23075441789353215
Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Some college or associate's degree,-0.08808799615937153,0.03956219254587216,0.03746311680880281,0.006972697041153149,0.03731183293520994,0.05047343825683601,0.05700853260065374,0.03706804180422821,-0.012129402467591022,0.010893853347423724,0.06122950545490212,0.06540831112224713,0.04913605252096785,0.03255523223169047,0.03351009798035107,0.027272468079211295,0.00841100784086705,0.012180469069395591,0.028582287243285633,0.45137844229186996,0.39589226399773425,0.3998367144890647,0.39841346281152,0.39907316016455535,0.33093456939144344,0.054357324071361436,0.049176384522396366,0.008856247168343455,-0.008902443972409024,0.031431976954263724,-0.03935519964800818,-0.045031459224940354,0.5013695727776367,0.04421665348257779,0.5641869378816987,0.12500285319397536,0.15189403840161111,1.0,0.24827822405628525,0.42861755037389415,0.04040094235479967,-0.02586486172334389,-0.020686252491983397,-0.030194940919164515,-0.005215392903151794,-0.050582278778484056,-0.031761195968728145,-0.04620128229656975,-0.05113075758703992,-0.03515729982394565,-0.252376396966323
Total - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings Bachelor's degree,-0.12413349361019396,0.12331925177509903,0.12196857891683775,0.07389608123479782,0.10564209945137373,0.12245463128841999,0.12930363776765474,0.10285753507593447,0.030099968554711677,0.08779907475595179,0.14499904336606864,0.15242936707782292,0.1395901015755076,0.12169757427711952,0.1376381396881959,0.12753020629293998,0.10689066471054214,0.10308744506495679,0.11792059009886782,0.42525910394291433,0.4760190844964499,0.4001203070416489,0.43411516062476385,0.3947113212738049,0.4043577790922894,0.14182989944190452,0.1290979580292939,-0.0939077857109155,0.09383889787397715,0.16661508493829244,0.014340762297378526,0.02651518829584063,0.45251728101345523,0.12492528695672946,0.4681298105661393,0.05970324121344456,0.14681473026013586,0.24827822405628525,1.0,0.37421423968699324,0.12507449806991094,0.03410134242566787,0.038707845866575226,0.029475587857827962,0.05323160780275164,-0.0012436475741367911,0.017721380340807655,0.012633892201897133,0.01097675822027098,0.016730739128637224,-0.18345110691089023
Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Graduate or professional degree,-0.21567607657588303,0.1772283189722767,0.17616733130403783,0.03213661729628298,0.1583710505047913,0.16550143300640024,0.17738120261835635,0.17109952096017284,0.07931134122950008,0.13373675664586215,0.19302584385416852,0.2063357327425441,0.19320587427047414,0.17120230228899552,0.18488934490251155,0.18255547448674111,0.17224219026574364,0.15201721327957793,0.17104572594250367,0.6172201514019034,0.5502949403099656,0.5929771169305019,0.5311344503101028,0.4863955202743315,0.4885793600568854,0.19693580443222658,0.07406549353505551,-0.18877197568646334,0.18876571706111572,0.2752555841206958,0.06704119837257644,0.10301103142312855,0.6159486246775905,0.17586741956617852,0.6173043476554082,0.12342238376943823,0.22921058466730676,0.42861755037389415,0.37421423968699324,1.0,0.17640319129544244,0.0644139115623625,0.06556314544926622,0.06242864395948496,0.0863737421221887,0.039907441094019926,0.04401278904408067,0.03133075595546223,0.025500092204739512,0.04950050875203452,-0.36325305504062994
Total Population,-0.13652394409687402,0.9970690652490632,0.998776686310206,-0.22443979233995773,0.9754406408598479,0.970292507599186,0.9600213122378088,0.919269341219634,0.8113024382140416,0.9578596309142182,0.9847492971095788,0.9846584841062732,0.9768698076631446,0.9763655472836195,0.9736940450433413,0.9498371967835538,0.8850147420360109,0.9869188187936742,0.9937116683086686,0.23304277271113416,0.26766672927586355,0.2619894160892404,0.3621449186622515,0.21127477172037032,0.25946186605494936,0.9935401442706794,-0.19932733422483823,-0.3313579117284646,0.3313397912528069,0.3410570173337262,0.22598695438602617,0.2127255254204343,0.1783622741466745,0.9944240329954169,0.2345196028405776,-0.11243533284424555,-0.05313120727836924,0.04040094235479967,0.12507449806991094,0.17640319129544244,1.0,0.9549368079202449,0.9485711693573953,0.9485841292906806,0.9379565829134575,0.8944522144871223,0.9300503923145953,0.9208529135899646,0.8844787518839764,0.92649267781769,-0.1675293174606302
Total Disability ,-0.10056425908232437,0.9528424047369,0.9550087073985949,-0.21253663121612143,0.9405997478138403,0.9265624313026445,0.9150759651586287,0.8641259162602232,0.7792645974075246,0.930368499564151,0.927198820406272,0.9292863179436166,0.929615041618096,0.9449823731792322,0.9373895454616124,0.9159853179061748,0.8489211145305947,0.9614064647404535,0.9551736781479264,0.10284287758773182,0.11489310191923212,0.13060080581021222,0.2232977648853105,0.09301332822438152,0.15241600284011225,0.9306159896203623,-0.20858954925368917,-0.28717542537210305,0.2871569088611619,0.28186011008455625,0.20713705159341625,0.18499892992598216,0.06345014522441034,0.9430005734708672,0.10421523418830567,-0.160963472133518,-0.11132789821783586,-0.02586486172334389,0.03410134242566787,0.0644139115623625,0.9549368079202449,1.0,0.9926492342997659,0.9939680226518294,0.967327720038469,0.9558384754514094,0.9871301075511624,0.986900300379484,0.9495325747758577,0.9826129580026841,-0.08298650007090475
Total Disability  Male,-0.09138125893530598,0.9491644524648556,0.9462946920998921,-0.20597714666428893,0.9336994787366271,0.9238813509797081,0.9071978003097039,0.8566435560671034,0.7721012936319146,0.9203079229307333,0.9237337327367479,0.9245900511098676,0.9260447499162184,0.938695998949954,0.9331271940326883,0.9116398906401959,0.8378010304759481,0.9519484548618877,0.9462023588487656,0.11113048961920752,0.12182654967654974,0.13661672305225428,0.2245006649362871,0.09799177270364945,0.15779000359889858,0.9249231486717862,-0.20375008365099728,-0.2774811979801709,0.2774638090144562,0.27558428329769225,0.19754040085614327,0.17650589313364487,0.06563128956295958,0.9374618646826369,0.10667627974946288,-0.1682333064745311,-0.10954533879193606,-0.020686252491983397,0.038707845866575226,0.06556314544926622,0.9485711693573953,0.9926492342997659,1.0,0.9733885486327173,0.972366863156953,0.9465715643754098,0.9800532757133364,0.9744856829331808,0.933092249983429,0.9678891415241522,-0.07999796759114441
Total Disability Female,-0.1076091108859835,0.9440808234015272,0.9507831326773977,-0.2157593550226671,0.9349135126424745,0.9172310908734986,0.9105998377350075,0.8599378326660554,0.7758645393768403,0.9276758891767684,0.9185698422255393,0.9217464945137644,0.9210507265819443,0.9386842194659439,0.9293536690004686,0.9082964053492986,0.8482224028404515,0.9577738651540731,0.951179169304961,0.09401810580608379,0.10711897747482053,0.12347176663736242,0.21928843177760873,0.08726104542298382,0.14555625468025102,0.9239623491553715,-0.21028876870192115,-0.2922862246868255,0.2922669234883041,0.28394241235343476,0.21318242630047457,0.19032758172171016,0.06065006635054303,0.9360500665417495,0.10062942832450048,-0.15207588102520392,-0.1114591677700722,-0.030194940919164515,0.029475587857827962,0.06242864395948496,0.9485841292906806,0.9939680226518294,0.9733885486327173,1.0,0.9504831511270178,0.952103383235034,0.9810132582840417,0.9856232819157906,0.9523778188423864,0.9834828737712928,-0.08463639780608334
Total Disability  With a hearing difficulty,-0.07049528245076071,0.9377858607162687,0.9362059610990437,-0.18152524458329747,0.9207226506875351,0.910985163931953,0.8989861160396992,0.8451721910868121,0.7495489855233606,0.8912068548221647,0.9140316214586989,0.918656069879547,0.9161286681256556,0.9293676100565039,0.9352977391263364,0.9277676388269249,0.8632372417226352,0.9346018251552259,0.9338956682599645,0.14208182016390425,0.15948969938922536,0.16695098810931083,0.24979326013977743,0.10399142969584295,0.16889222304408663,0.9160926564614778,-0.18394597380979433,-0.26154497192263837,0.26152889726941214,0.2704084192852647,0.1776543563832795,0.16269789924936434,0.08736078744450212,0.9272265394427052,0.13128854476120505,-0.14303827100351837,-0.09669575433777551,-0.005215392903151794,0.05323160780275164,0.0863737421221887,0.9379565829134575,0.967327720038469,0.972366863156953,0.9504831511270178,1.0,0.9182979419329907,0.9476980468579354,0.9378259617495976,0.8958147295244643,0.9344512138517249,-0.08698681792847476
Total Disability  With a vision difficulty,-0.09735894177757866,0.8901471910869019,0.8966878456924716,-0.21705122422563164,0.8864183522226661,0.8685192087668789,0.8552141304565457,0.80014669534853,0.7467583655261488,0.8857338870921606,0.8654735665702247,0.8651353798702254,0.8593622455093135,0.8794757836057568,0.8709702205848995,0.8503265243242287,0.7999535638455259,0.9101092160556592,0.9025310676101453,0.05225582063683438,0.0546827418193301,0.08001544731728019,0.16668214540321674,0.05914556802368065,0.11535236301431333,0.869097763031105,-0.21382105140858507,-0.2960841561688663,0.2960635081873429,0.2731556312961162,0.22775986491585645,0.20066067679153626,0.02826306354460404,0.882985256535226,0.06215442080326267,-0.16898864431199082,-0.1290791926309463,-0.050582278778484056,-0.0012436475741367911,0.039907441094019926,0.8944522144871223,0.9558384754514094,0.9465715643754098,0.952103383235034,0.9182979419329907,1.0,0.9467042823449185,0.9429958982347441,0.922549834771466,0.9469228547516823,-0.057610117834904905
